[HIGHEST OVERHEAD] SALARY EXPENSE: 34.52%
[CASH DEFICIT] Day: 2, AMOUNT: USD141960
[CASH DEFICIT] Day: 3, AMOUNT: USD681360
[CASH DEFICIT] Day: 4, AMOUNT: USD25860
[CASH DEFICIT] Day: 5, AMOUNT: USD2395479
[CASH DEFICIT] Day: 6, AMOUNT: USD106581
[CASH DEFICIT] Day: 7, AMOUNT: USD95178
[CASH DEFICIT] Day: 9, AMOUNT: USD149766
[CASH DEFICIT] Day: 11, AMOUNT: USD594411
[CASH DEFICIT] Day: 15, AMOUNT: USD217339
[CASH DEFICIT] Day: 16, AMOUNT: USD112238
[CASH DEFICIT] Day: 18, AMOUNT: USD366106
[CASH DEFICIT] Day: 19, AMOUNT: USD35437
[CASH DEFICIT] Day: 20, AMOUNT: USD51211
[CASH DEFICIT] Day: 21, AMOUNT: USD73083
[CASH DEFICIT] Day: 24, AMOUNT: USD107810
[CASH DEFICIT] Day: 25, AMOUNT: USD148675
[CASH DEFICIT] Day: 30, AMOUNT: USD97327
[CASH DEFICIT] Day: 31, AMOUNT: USD313207
[CASH DEFICIT] Day: 34, AMOUNT: USD538127
[CASH DEFICIT] Day: 38, AMOUNT: USD464736
[CASH DEFICIT] Day: 40, AMOUNT: USD128778
[CASH DEFICIT] Day: 42, AMOUNT: USD222932
[CASH DEFICIT] Day: 46, AMOUNT: USD694573
[CASH DEFICIT] Day: 49, AMOUNT: USD73799
[CASH DEFICIT] Day: 52, AMOUNT: USD467485
[CASH DEFICIT] Day: 56, AMOUNT: USD209425
[CASH DEFICIT] Day: 57, AMOUNT: USD219576
[CASH DEFICIT] Day: 66, AMOUNT: USD36518
[CASH DEFICIT] Day: 72, AMOUNT: USD251267
[CASH DEFICIT] Day: 77, AMOUNT: USD862962
[PROFIT DEFICIT] Day: 1, AMOUNT: USD12600
[PROFIT DEFICIT] Day: 2, AMOUNT: USD141960
[PROFIT DEFICIT] Day: 3, AMOUNT: USD91360
[PROFIT DEFICIT] Day: 4, AMOUNT: USD35860
[PROFIT DEFICIT] Day: 5, AMOUNT: USD37154
[PROFIT DEFICIT] Day: 7, AMOUNT: USD162640
[PROFIT DEFICIT] Day: 8, AMOUNT: USD78974
[PROFIT DEFICIT] Day: 9, AMOUNT: USD18436
[PROFIT DEFICIT] Day: 15, AMOUNT: USD149148
[PROFIT DEFICIT] Day: 17, AMOUNT: USD101087
[PROFIT DEFICIT] Day: 19, AMOUNT: USD82073
[PROFIT DEFICIT] Day: 20, AMOUNT: USD65337
[PROFIT DEFICIT] Day: 21, AMOUNT: USD38386
[PROFIT DEFICIT] Day: 22, AMOUNT: USD28084
[PROFIT DEFICIT] Day: 24, AMOUNT: USD1859
[PROFIT DEFICIT] Day: 25, AMOUNT: USD14855
[PROFIT DEFICIT] Day: 26, AMOUNT: USD16707
[PROFIT DEFICIT] Day: 30, AMOUNT: USD43954
[PROFIT DEFICIT] Day: 32, AMOUNT: USD95028
[PROFIT DEFICIT] Day: 42, AMOUNT: USD93683

